anno,words,cluster
2016,guidance,0
2016,populating,0
2016,dvr,0
2016,dialogue,0
2016,browser,0
2016,depressed,0
2016,forum,0
2016,role-playing,0
2016,noruen,0
2016,occurs,0
2016,budget,1
2016,oldest,1
2016,differentially,1
2016,crowdsourced,1
2016,q&a,1
2016,convolutional-neural-network-based,1
2016,watermarking,1
2016,longform,1
2016,hyperlinked,1
2016,disambiguated,1
2016,time-bin,2
2016,pre-emergent,2
2016,post-processes,2
2016,1-1)-th,2
2016,learning/recognition,2
2016,attributes-based,2
2016,human-controlled,2
2016,convolutional-neural-network-based,2
2016,announce,2
2016,loom,2
2016,pre-emergent,3
2016,end-users,3
2016,promptly,3
2016,time-bin,3
2016,up-converted,3
2016,forge,3
2016,subsample,3
2016,distributable,3
2016,ôç£dcm-platformôçø,3
2016,suitabilities,3
2016,time-bin,4
2016,pre-emergent,4
2016,up-converted,4
2016,singly-charged,4
2016,forge,4
2016,q&a,4
2016,duplicative,4
2016,condensate,4
2016,superstep,4
2016,clutches,4
2016,spindle,5
2016,loom,5
2016,motor,5
2016,burning,5
2016,pre-emergent,5
2016,undershoot,5
2016,rop,5
2016,danger,5
2016,maneuvering,5
2016,compressor,5
2016,layered,6
2016,cybersecurity,6
2016,deficiencies,6
2016,viewable,6
2016,psychology,6
2016,kid,6
2016,deduplication,6
2016,moderation,6
2016,authorized,6
2016,scheduled,6
2016,letters,7
2016,duplicative,7
2016,convolutional-neural-network-based,7
2016,syllabus,7
2016,pre-emergent,7
2016,wôç▓,7
2016,cyber-attack,7
2016,time-bin,7
2016,cww,7
2016,farthest,7
2016,time-bin,8
2016,up-converted,8
2016,pre-emergent,8
2016,off,8
2016,self-monitoring,8
2016,forge,8
2016,time-division,8
2016,vôç▓,8
2016,aerodynamic,8
2016,de-trapping,8
2016,time-bin,9
2016,promptly,9
2016,post-processes,9
2016,up-converted,9
2016,attributes-based,9
2016,packer,9
2016,phenomenal,9
2016,freight,9
2016,pre-emergent,9
2016,oldest,9
2017,high-dimensional,0
2017,greedy,0
2017,orthogonal,0
2017,trench,0
2017,provenance,0
2017,exploiting,0
2017,topology,0
2017,supercomputer,0
2017,vôç▓,0
2017,layer,0
2017,time-bin,1
2017,rop,1
2017,vôç▓,1
2017,batching,1
2017,pre-emergent,1
2017,oldest,1
2017,reprogrammable,1
2017,packer,1
2017,wôç▓,1
2017,post-processes,1
2017,letters,2
2017,website,2
2017,factors,2
2017,term,2
2017,features,2
2017,triples,2
2017,rules,2
2017,recommendable,2
2017,multiplies,2
2017,dbn,2
2017,time-bin,3
2017,condensate,3
2017,distress,3
2017,dip,3
2017,dynamics/kinetics,3
2017,ue,3
2017,uploads,3
2017,ttc,3
2017,cross-ontology,3
2017,feature-related,3
2017,1-1)-th,4
2017,up-sampling,4
2017,upsampling,4
2017,1-k)-th,4
2017,blurred,4
2017,down-sampling,4
2017,cc,4
2017,saw,4
2017,stabilizing,4
2017,blade,4
2017,time-bin,5
2017,pre-emergent,5
2017,forge,5
2017,post-processes,5
2017,exercising,5
2017,situ-harvest,5
2017,undershoot,5
2017,corrupt,5
2017,attracted,5
2017,announce,5
2017,time-bin,6
2017,up-converted,6
2017,pre-emergent,6
2017,q&a,6
2017,singly-charged,6
2017,detuning,6
2017,attributes-based,6
2017,zirconium-oxide,6
2017,island,6
2017,trench,6
2017,up-sampling,7
2017,1-1)-th,7
2017,1-k)-th,7
2017,n-way,7
2017,down-sampling,7
2017,rpn,7
2017,oxide,7
2017,upsampling,7
2017,pooled,7
2017,computer-human,7
2017,time-aware,8
2017,subscriber's,8
2017,dynamics/kinetics,8
2017,lean,8
2017,enabled,8
2017,neuropsychological,8
2017,promptly,8
2017,transparency,8
2017,prioritizes,8
2017,collector,8
2017,die-away,9
2017,impulse,9
2017,neither,9
2017,mixed-integer,9
2017,follow-up,9
2017,magnified,9
2017,node-to-node,9
2017,painted,9
2017,biometric,9
2017,pre-processing,9
2018,federated,0
2018,patrol,0
2018,inferior,0
2018,palm,0
2018,presenter,0
2018,expanded,0
2018,singly-charged,0
2018,pull,0
2018,inspected,0
2018,vibrations,0
2018,jj,1
2018,sfq,1
2018,xor,1
2018,kid,1
2018,up-converted,1
2018,completions,1
2018,vacuum,1
2018,co-occurrences,1
2018,manufacturer,1
2018,multi-josephson,1
2018,time-bin,2
2018,pre-emergent,2
2018,up-converted,2
2018,k-partite,2
2018,distributable,2
2018,zirconium-oxide,2
2018,cross-ontology,2
2018,reinitialized,2
2018,fillings,2
2018,q&a,2
2018,seeks,3
2018,penalty,3
2018,self-monitoring,3
2018,violating,3
2018,shallow,3
2018,pushed,3
2018,replicas,3
2018,w,3
2018,uploads,3
2018,multi-label,3
2018,outflow,4
2018,theory,4
2018,singular,4
2018,transitional,4
2018,separate,4
2018,tract,4
2018,top-m,4
2018,crosstalk,4
2018,uncertain,4
2018,vref,4
2018,federated,5
2018,q&a,5
2018,anf,5
2018,patrol,5
2018,level-based,5
2018,zirconium-oxide,5
2018,sought,5
2018,cross-ontology,5
2018,fet,5
2018,correlithm,5
2018,baggage,6
2018,backend,6
2018,affixed,6
2018,hyperlinked,6
2018,rfid,6
2018,procedural,6
2018,acute,6
2018,broadcasts,6
2018,cardiopulmonary,6
2018,sureôçø,6
2018,tool,7
2018,brand,7
2018,applicant,7
2018,visually,7
2018,applicability,7
2018,in-store,7
2018,cad,7
2018,mold,7
2018,barcode,7
2018,design,7
2018,detects,8
2018,complicated,8
2018,persons,8
2018,emg,8
2018,days,8
2018,employee,8
2018,ease,8
2018,partner,8
2018,increases,8
2018,pore,8
2018,sub-process,9
2018,abnormal-condition,9
2018,confluences,9
2018,paths/modes,9
2018,retaining,9
2018,violating,9
2018,frontier,9
2018,announce,9
2018,compliant,9
2018,sns,9
